Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20110813,Blackburn,Wolves,1,2,A,2.0,3.75,3.4,2.2,3.5,3.1
20110813,Fulham,Aston Villa,0,0,D,2.2,3.3,3.3,2.2,3.4,3.2
20110813,Liverpool,Sunderland,1,1,D,1.5,7.5,3.75,1.57,6.5,3.75
20110813,Newcastle,Arsenal,0,0,D,3.75,2.0,3.4,3.75,2.05,3.2
20110813,QPR,Bolton,0,4,A,2.38,3.0,3.25,2.4,3.1,3.1
20110813,Wigan,Norwich,1,1,D,2.0,3.75,3.4,2.2,3.4,3.2
20110814,Stoke,Chelsea,0,0,D,5.5,1.62,3.75,5.5,1.7,3.4
20110814,West Brom,Man United,1,2,A,7.0,1.5,4.0,7.0,1.53,3.75
20110815,Man City,Swansea,4,0,H,1.25,12.0,5.5,1.3,13.0,4.5
20110820,Arsenal,Liverpool,0,2,A,2.38,3.0,3.25,2.6,2.75,3.2
20110820,Aston Villa,Blackburn,3,1,H,1.73,5.0,3.5,1.75,5.5,3.2
20110820,Chelsea,West Brom,2,1,H,1.25,12.0,5.5,1.33,10.0,4.8
20110820,Everton,QPR,0,1,A,1.53,6.5,3.8,1.55,6.0,4.0
20110820,Sunderland,Newcastle,0,1,A,2.2,3.3,3.3,2.2,3.5,3.1
20110820,Swansea,Wigan,0,0,D,2.2,3.3,3.3,2.15,3.5,3.25
20110821,Bolton,Man City,2,3,A,5.0,1.73,3.5,4.4,1.8,3.6
20110821,Norwich,Stoke,1,1,D,2.5,2.8,3.3,2.5,2.88,3.2
20110821,Wolves,Fulham,2,0,H,2.38,3.0,3.25,2.25,3.3,3.2
20110822,Man United,Tottenham,3,0,H,1.62,5.5,3.75,1.67,4.75,4.0
20110827,Aston Villa,Wolves,0,0,D,1.91,4.0,3.4,2.1,3.6,3.2
20110827,Blackburn,Everton,0,1,A,3.0,2.38,3.25,3.0,2.4,3.2
20110827,Chelsea,Norwich,3,1,H,1.2,15.0,6.0,1.22,13.0,6.0
20110827,Liverpool,Bolton,3,1,H,1.4,8.0,4.5,1.44,8.0,4.0
20110827,Swansea,Sunderland,0,0,D,2.38,3.0,3.25,2.5,2.9,3.1
20110827,Wigan,QPR,2,0,H,2.25,3.2,3.25,2.4,3.0,3.2
20110828,Man United,Arsenal,8,2,H,1.5,7.0,4.0,1.53,7.0,3.75
20110828,Newcastle,Fulham,2,1,H,2.1,3.6,3.25,2.15,3.5,3.2
20110828,Tottenham,Man City,1,5,A,2.88,2.4,3.3,2.9,2.5,3.1
20110828,West Brom,Stoke,0,1,A,2.1,3.6,3.25,2.15,3.6,3.1
20110910,Arsenal,Swansea,1,0,H,1.33,9.0,5.0,1.36,8.5,4.8
20110910,Bolton,Man United,0,5,A,8.0,1.4,4.5,7.0,1.44,4.4
20110910,Everton,Aston Villa,2,2,D,2.0,3.8,3.3,2.0,3.8,3.3
20110910,Man City,Wigan,3,0,H,1.17,17.0,7.0,1.18,17.0,6.5
20110910,Stoke,Liverpool,1,0,H,3.4,2.2,3.25,3.3,2.25,3.2
20110910,Sunderland,Chelsea,1,2,A,5.0,1.7,3.6,5.0,1.7,3.6
20110910,Wolves,Tottenham,0,2,A,2.88,2.4,3.3,2.9,2.45,3.3
20110911,Fulham,Blackburn,1,1,D,1.73,5.5,3.3,1.67,5.5,3.6
20110911,Norwich,West Brom,0,1,A,2.5,2.8,3.3,2.5,2.8,3.3
20110912,QPR,Newcastle,0,0,D,2.38,3.0,3.25,2.4,3.0,3.2
20110917,Aston Villa,Newcastle,1,1,D,2.0,4.0,3.2,2.0,4.2,3.1
20110917,Blackburn,Arsenal,4,3,H,4.33,1.91,3.3,4.2,1.91,3.25
20110917,Bolton,Norwich,1,2,A,1.73,5.0,3.6,1.83,5.0,3.1
20110917,Everton,Wigan,3,1,H,1.57,7.0,3.6,1.53,7.5,3.6
20110917,Swansea,West Brom,3,0,H,2.6,2.8,3.2,2.8,2.8,2.9
20110917,Wolves,QPR,0,3,A,1.91,4.0,3.5,1.95,4.2,3.2
20110918,Fulham,Man City,2,2,D,6.5,1.57,3.75,6.0,1.62,3.6
20110918,Man United,Chelsea,3,1,H,1.83,4.5,3.5,1.85,4.5,3.3
20110918,Sunderland,Stoke,4,0,H,2.4,3.0,3.25,2.38,3.1,3.1
20110918,Tottenham,Liverpool,4,0,H,2.62,2.75,3.2,2.7,2.8,3.0
20110924,Arsenal,Bolton,3,0,H,1.44,7.5,4.33,1.44,7.5,4.2
20110924,Chelsea,Swansea,4,1,H,1.17,19.0,7.0,1.22,15.0,5.5
20110924,Liverpool,Wolves,2,1,H,1.4,9.0,4.33,1.4,8.0,4.5
20110924,Man City,Everton,2,0,H,1.44,7.5,4.33,1.44,8.5,4.0
20110924,Newcastle,Blackburn,3,1,H,1.91,4.0,3.5,1.91,4.5,3.2
20110924,Stoke,Man United,1,1,D,6.5,1.53,4.0,5.5,1.57,4.0
20110924,West Brom,Fulham,0,0,D,2.3,3.1,3.3,2.4,3.0,3.2
20110924,Wigan,Tottenham,1,2,A,3.75,2.0,3.4,3.8,2.0,3.3
20110925,QPR,Aston Villa,1,1,D,2.38,3.1,3.25,2.4,3.1,3.1
