Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20121020,Liverpool,Reading,1,0,H,1.36,9.0,4.5,1.4,9.0,4.2
20121020,Man United,Stoke,4,2,H,1.29,11.0,5.0,1.33,11.0,4.5
20121020,Norwich,Arsenal,1,0,H,6.0,1.53,4.0,6.0,1.57,3.8
20121020,Swansea,Wigan,2,1,H,2.1,3.5,3.3,2.15,3.5,3.2
20121020,Tottenham,Chelsea,2,4,A,2.5,2.62,3.3,2.7,2.8,3.0
20121020,West Brom,Man City,1,2,A,5.0,1.67,3.75,5.0,1.75,3.4
20121020,West Ham,Southampton,4,1,H,1.91,4.0,3.4,1.91,4.0,3.4
20121021,QPR,Everton,1,1,D,3.2,2.2,3.3,3.2,2.3,3.2
20121021,Sunderland,Newcastle,1,1,D,2.5,2.8,3.25,2.62,2.9,3.0
20121027,Arsenal,QPR,1,0,H,1.33,9.0,5.0,1.33,9.0,4.5
20121027,Aston Villa,Norwich,1,1,D,1.91,4.0,3.4,1.91,4.0,3.2
20121027,Man City,Swansea,1,0,H,1.22,13.0,6.0,1.22,10.0,6.0
20121027,Reading,Fulham,3,3,D,2.75,2.5,3.3,2.7,2.5,3.2
20121027,Stoke,Sunderland,0,0,D,2.0,3.75,3.3,1.91,3.9,3.3
20121027,Wigan,West Ham,2,1,H,2.25,3.1,3.3,2.25,3.1,3.2
20121028,Chelsea,Man United,2,3,A,2.4,2.88,3.3,2.3,2.9,3.3
20121028,Everton,Liverpool,2,2,D,2.6,2.7,3.2,2.6,2.6,3.2
20121028,Newcastle,West Brom,2,1,H,1.91,4.0,3.4,2.0,3.6,3.3
20121028,Southampton,Tottenham,1,2,A,4.2,1.83,3.6,4.0,1.83,3.4
20121103,Fulham,Everton,2,2,D,2.62,2.6,3.3,2.62,2.6,3.4
20121103,Man United,Arsenal,2,1,H,1.67,5.0,3.75,1.67,4.8,4.0
20121103,Norwich,Stoke,1,0,H,2.6,2.7,3.25,2.6,2.75,3.2
20121103,Sunderland,Aston Villa,0,1,A,1.95,4.0,3.3,2.0,4.0,3.25
20121103,Swansea,Chelsea,1,1,D,5.0,1.67,3.75,4.2,1.8,3.75
20121103,Tottenham,Wigan,0,1,A,1.44,7.0,4.33,1.44,7.0,4.33
20121103,West Ham,Man City,0,0,D,5.0,1.67,3.75,4.8,1.7,3.8
20121104,Liverpool,Newcastle,1,1,D,1.57,6.0,3.75,1.55,6.0,4.0
20121104,QPR,Reading,1,1,D,1.83,4.33,3.5,1.83,4.2,3.6
20121105,West Brom,Southampton,2,0,H,1.75,4.5,3.75,1.75,5.0,3.4
20121110,Arsenal,Fulham,3,3,D,1.5,6.5,4.0,1.57,7.0,3.5
20121110,Aston Villa,Man United,2,3,A,6.5,1.5,4.0,7.0,1.5,4.0
20121110,Everton,Sunderland,2,1,H,1.5,7.0,4.0,1.5,7.5,3.75
20121110,Reading,Norwich,0,0,D,2.2,3.2,3.4,2.3,3.3,3.1
20121110,Southampton,Swansea,1,1,D,2.38,2.9,3.3,2.5,2.88,3.2
20121110,Stoke,QPR,1,0,H,1.91,4.0,3.4,2.0,4.0,3.2
20121110,Wigan,West Brom,1,2,A,2.3,3.0,3.3,2.4,3.1,3.1
20121111,Chelsea,Liverpool,1,1,D,1.91,4.0,3.4,2.0,4.0,3.2
20121111,Man City,Tottenham,2,1,H,1.62,5.5,3.75,1.62,5.5,3.75
20121111,Newcastle,West Ham,0,1,A,1.91,4.0,3.4,2.05,4.0,3.1
20121117,Arsenal,Tottenham,5,2,H,1.95,3.6,3.6,1.95,4.0,3.4
20121117,Liverpool,Wigan,3,0,H,1.44,7.0,4.33,1.44,7.5,4.33
20121117,Man City,Aston Villa,5,0,H,1.22,12.0,6.0,1.22,13.0,6.0
20121117,Newcastle,Swansea,1,2,A,1.83,4.33,3.5,1.95,4.0,3.4
20121117,Norwich,Man United,1,0,H,6.5,1.44,4.5,8.0,1.4,4.5
20121117,QPR,Southampton,1,3,A,1.91,4.0,3.4,1.95,4.0,3.4
20121117,Reading,Everton,2,1,H,4.2,1.83,3.5,4.5,1.83,3.4
20121117,West Brom,Chelsea,2,1,H,3.8,1.91,3.6,4.0,1.95,3.3
20121118,Fulham,Sunderland,1,3,A,1.73,5.0,3.5,1.73,5.0,3.6
20121119,West Ham,Stoke,1,1,D,2.0,3.6,3.4,2.05,3.8,3.25
20121124,Aston Villa,Arsenal,0,0,D,5.0,1.73,3.5,5.0,1.75,3.4
20121124,Everton,Norwich,1,1,D,1.44,7.0,4.33,1.53,6.0,4.0
20121124,Man United,QPR,3,1,H,1.2,13.0,6.5,1.2,17.0,6.0
20121124,Stoke,Fulham,1,0,H,2.1,3.5,3.3,2.25,3.4,3.1
20121124,Sunderland,West Brom,2,4,A,2.4,2.88,3.3,2.5,2.8,3.2
20121124,Wigan,Reading,3,2,H,1.91,4.0,3.4,1.95,4.0,3.3
20121125,Chelsea,Man City,0,0,D,2.62,2.7,3.25,2.62,2.8,3.1
20121125,Southampton,Newcastle,2,0,H,2.38,2.9,3.3,2.3,3.1,3.3
20121125,Swansea,Liverpool,0,0,D,3.5,2.1,3.3,3.4,2.15,3.3
20121125,Tottenham,West Ham,3,1,H,1.57,6.0,3.8,1.7,5.5,3.4
20121127,Aston Villa,Reading,1,0,H,2.0,4.0,3.25,2.0,4.0,3.2
20121127,Sunderland,QPR,0,0,D,2.25,3.25,3.25,2.25,3.2,3.2
20121128,Chelsea,Fulham,0,0,D,1.4,7.5,4.5,1.5,7.0,4.0
20121128,Everton,Arsenal,1,1,D,2.5,2.7,3.4,2.5,2.8,3.2
20121128,Man United,West Ham,1,0,H,1.25,12.0,5.5,1.25,12.0,5.5
20121128,Southampton,Norwich,1,1,D,2.15,3.3,3.4,2.1,3.5,3.25
20121128,Stoke,Newcastle,2,1,H,2.0,3.75,3.3,2.0,4.0,3.2
20121128,Swansea,West Brom,3,1,H,2.38,3.0,3.25,2.3,3.1,3.25
20121128,Tottenham,Liverpool,2,1,H,2.38,3.0,3.25,2.4,2.9,3.3
20121128,Wigan,Man City,0,2,A,6.0,1.53,4.0,6.0,1.53,4.0
20121201,Arsenal,Swansea,0,2,A,1.44,7.0,4.33,1.5,7.0,4.0
20121201,Fulham,Tottenham,0,3,A,3.0,2.3,3.4,3.0,2.5,3.0
20121201,Liverpool,Southampton,1,0,H,1.44,7.0,4.33,1.44,8.0,4.0
20121201,Man City,Everton,1,1,D,1.5,6.5,4.0,1.57,6.0,3.8
20121201,QPR,Aston Villa,1,1,D,2.05,3.5,3.4,2.05,3.75,3.25
20121201,Reading,Man United,3,4,A,8.0,1.4,4.5,8.0,1.44,4.0
