Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20100814,Aston Villa,West Ham,3,0,H,1.83,4.33,3.4,1.91,4.33,3.25
20100814,Blackburn,Everton,1,0,H,2.8,2.5,3.3,2.88,2.5,3.2
20100814,Bolton,Fulham,0,0,D,2.25,3.2,3.3,2.15,3.5,3.2
20100814,Chelsea,West Brom,6,0,H,1.14,19.0,7.5,1.17,19.0,6.5
20100814,Sunderland,Birmingham,2,2,D,2.1,3.5,3.3,2.15,3.5,3.2
20100814,Tottenham,Man City,0,0,D,2.3,3.0,3.3,2.38,3.0,3.25
20100814,Wigan,Blackpool,0,4,A,1.8,4.5,3.5,1.75,5.0,3.4
20100814,Wolves,Stoke,2,1,H,2.25,3.2,3.3,2.3,3.2,3.2
20100815,Liverpool,Arsenal,1,1,D,2.4,2.88,3.3,2.5,2.88,3.2
20100816,Man United,Newcastle,3,0,H,1.25,12.0,5.5,1.22,13.0,6.0
20100821,Arsenal,Blackpool,6,0,H,1.17,15.0,7.0,1.17,17.0,7.0
20100821,Birmingham,Blackburn,2,1,H,2.2,3.3,3.3,2.3,3.1,3.2
20100821,Everton,Wolves,1,1,D,1.53,7.0,3.75,1.5,7.5,3.75
20100821,Stoke,Tottenham,1,2,A,3.6,2.1,3.25,3.3,2.25,3.2
20100821,West Brom,Sunderland,1,0,H,2.5,2.88,3.2,2.5,2.9,3.1
20100821,West Ham,Bolton,1,3,A,2.2,3.25,3.25,2.25,3.3,3.2
20100821,Wigan,Chelsea,0,6,A,12.0,1.25,5.5,12.0,1.25,5.5
20100822,Fulham,Man United,2,2,D,5.5,1.62,3.75,6.0,1.62,3.6
20100822,Newcastle,Aston Villa,6,0,H,2.88,2.38,3.4,3.1,2.4,3.1
20100823,Man City,Liverpool,3,0,H,2.38,3.0,3.25,2.4,3.1,3.1
20100828,Blackburn,Arsenal,1,2,A,6.0,1.57,3.75,6.0,1.57,3.8
20100828,Blackpool,Fulham,2,2,D,3.1,2.3,3.25,3.2,2.3,3.2
20100828,Chelsea,Stoke,2,0,H,1.11,23.0,8.0,1.1,21.0,9.5
